seed_title,title,type,listed_in,similarity_score
Dick Johnson Is Dead,Final Account,Movie,Documentaries,1.0
Dick Johnson Is Dead,The Last Days,Movie,Documentaries,1.0
Dick Johnson Is Dead,Good Hair,Movie,Documentaries,1.0
Dick Johnson Is Dead,Giving Voice,Movie,Documentaries,1.0
Dick Johnson Is Dead,Bully,Movie,Documentaries,1.0
Midnight Mass,Brand New Cherry Flavor,TV Show,"TV Dramas, TV Horror, TV Mysteries",1.0
Midnight Mass,The Haunting of Bly Manor,TV Show,"TV Dramas, TV Horror, TV Mysteries",1.0
Midnight Mass,Ratched,TV Show,"TV Dramas, TV Horror, TV Mysteries",1.0
Midnight Mass,The Haunting of Hill House,TV Show,"TV Dramas, TV Horror, TV Mysteries",1.0
Midnight Mass,The Mist,TV Show,"TV Dramas, TV Horror, TV Mysteries",1.0
Ganglands,Bangkok Breaking,TV Show,"Crime TV Shows, International TV Shows, TV Action & Adventure",1.0
Ganglands,Fatal Destiny,TV Show,"Crime TV Shows, International TV Shows, TV Action & Adventure",1.0
Ganglands,Dealer,TV Show,"Crime TV Shows, International TV Shows, TV Action & Adventure",1.0
Ganglands,Nowhere Man,TV Show,"Crime TV Shows, International TV Shows, TV Action & Adventure",1.0
Ganglands,Undercover,TV Show,"Crime TV Shows, International TV Shows, TV Action & Adventure",1.0
